lead_id,business_name,city,neighborhood,postal_code,category,assigned_sales_rep,sales_region,market_segment,market_subsegment,assignment_rule,matched_keywords,unassigned_reason,suspicious_reasons
234,Casa Moura Material para Construção,São Paulo,Bela Vista,01319-030,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
235,H Coelho Materiais De Construção,São Paulo,Bela Vista,01312-010,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
236,"BENTEVI MATERIAS PARA CONSTRUÇÕES, HIDRÁULICAS, ELÉTRICA E MADEIRAS",São Paulo,Aclimação,01526-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
237,Tetra Campeão Materiais para Construção Ltda,São Paulo,Vila Buarque,01220-010,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
238,MAM - Líder,São Paulo,Bela Vista,01315-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
239,DICONCRETO Materiais para Construção Ltda,São Paulo,Consolação,01309-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
240,Tutóia Materiais para Construção,São Paulo,Paraíso,04007-005,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
241,Somarco Freitas Materias p/ Construção,São Paulo,República,01220-010,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
242,Joa Constrói - Materiais de Construção,São Paulo,Bela Vista,01327-001,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
243,Ataide Ferramentas Ltda,São Paulo,Centro Histórico de São Paulo,01030-000,Loja de ferramentas,,,,,,,sao_paulo_missing_zone_signal,
244,Ferragens Padak,São Paulo,Sé,01317-001,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
245,Ferragens Padak material para construção,São Paulo,Bela Vista,01315-000,Loja de ferramentas,,,,,,,sao_paulo_missing_zone_signal,
246,Morumbi Ferragens e Ferramentas,São Paulo,Centro Histórico de São Paulo,01029-000,Loja de ferramentas,,,,,,,sao_paulo_missing_zone_signal,
247,Ferragens Campeão Ltda,São Paulo,Bela Vista,01318-001,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
248,SRa Ferramentas,São Paulo,Cambuci,01527-020,Loja,,,,,,,sao_paulo_missing_zone_signal,
249,Casa das Tres Meninas Ferragens e Parafusos,São Paulo,Santa Cecilia,01226-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
250,Itaim Ferragens,São Paulo,Itaim Bibi,04542-060,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
251,Padak Materiais para Construção e Ferragens,São Paulo,Consolação,01415-010,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
252,Castelão Ferramentas,São Paulo,Pari,03031-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
253,Ferragens R&L,São Paulo,Vila Nova Conceição,04544-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
254,Loja de Ferragens Machado de Assis,São Paulo,Vila Mariana,04106-001,Loja de artigos domésticos,,,Varejo,ferragistas,,loja de ferragens,sao_paulo_missing_zone_signal,
255,Platina Comercial de Ferragens e Ferramentas,São Paulo,Canindé,03029-060,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
256,Ferragens Paulista,São Paulo,Alto da Lapa,05468-150,Loja de ferramentas,,,,,,,sao_paulo_missing_zone_signal,
257,Ferragens Floresta - Pinheiros,São Paulo,Pinheiros,05424-010,Fabricante,,,,,,,sao_paulo_missing_zone_signal,
258,Central de Metais e Ferragens,São Paulo,Cambuci,01519-000,Distribuidoras,,,,,,,sao_paulo_missing_zone_signal,
259,São Gonçalo Ferragens e Ferramentas LTDA.,São Paulo,Parque Tiete,02870-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
260,Ferragens Piratininga,São Paulo,Bom Retiro,01124-000,Atacadista,,,,,,,sao_paulo_missing_zone_signal,
261,Bb Ferragens em Geral,São Paulo,Vila Olímpia,04549-002,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
262,Galvão Ferramentas,São Paulo,Imirim,02464-000,Loja,,,,,,,sao_paulo_missing_zone_signal,
263,Comercial Varejista,São Paulo,Aclimação,01526-010,Loja,,,,,,,sao_paulo_missing_zone_signal,
264,BBR Supermercado - Atacado e Varejo,São Paulo,Bela Vista,01325-001,Supermercado,,,,,,,sao_paulo_missing_zone_signal,
265,Galeria Conde de Sarzedas,São Paulo,Sé,01512-000,Shopping center,,,,,,,sao_paulo_missing_zone_signal,
266,Shopping Trade Center,São Paulo,Liberdade,01506-030,Shopping center,,,,,,,sao_paulo_missing_zone_signal,
267,Maruso Convenience Store,São Paulo,Liberdade,01506-030,Supermercado asiático,,,,,,,sao_paulo_missing_zone_signal,
268,Galeria Liberdade,São Paulo,Liberdade,01506-030,Shopping center,,,,,,,sao_paulo_missing_zone_signal,
269,JS ATACADO E VAREJO,São Paulo,Liberdade,01501-010,Loja de artigos esportivos,,,,,,,sao_paulo_missing_zone_signal,
270,Lojas Marabraz,São Paulo,República,01048-100,Loja de móveis,,,,,,,sao_paulo_missing_zone_signal,
271,Marukai,São Paulo,Liberdade,01506-000,Supermercado asiático,,,,,,,sao_paulo_missing_zone_signal,
272,VR Varejo,São Paulo,República,01220-010,Loja,,,,,,,sao_paulo_missing_zone_signal,
273,Galeria Pingo Doce,São Paulo,Liberdade,01506-000,Shopping center,,,,,,,sao_paulo_missing_zone_signal,
274,Daiso Japan - Unidade Liberdade,São Paulo,Liberdade,01501-060,Supermercado asiático,,,,,,,sao_paulo_missing_zone_signal,
275,Loja Kawaii Presentes,São Paulo,Liberdade,01506-030,Loja,,,,,,,sao_paulo_missing_zone_signal,
276,ACOMAC SP - Associação dos Comerciantes de Material de Construção de São Paulo,São Paulo,Bela Vista,01319-010,Organização sem fins lucrativos,,,Varejo,materiais de construção,,material de construção,sao_paulo_missing_zone_signal,
277,Galeria Imperial,São Paulo,Liberdade,01506-000,Centro comercial,,,,,,,sao_paulo_missing_zone_signal,
278,Mercado Extra,São Paulo,Liberdade,01320-000,Supermercado,,,,,,,sao_paulo_missing_zone_signal,
279,Junior Eletrônicos,São Paulo,Liberdade,01503-000,Loja de eletrônicos,,,,,,,sao_paulo_missing_zone_signal,
280,Miniso Liberdade,São Paulo,Liberdade,01506-030,Loja,,,,,,,sao_paulo_missing_zone_signal,
281,Barcelona Comércio Varejista Atacadista,São Paulo,Conjunto Habitacional Padre Jose de Anchieta,03589-010,Supermercado,,,,,,,sao_paulo_missing_zone_signal,
282,LOJAS ANEDRE,São Paulo,Bela Vista,01319-010,Loja,,,,,,,sao_paulo_missing_zone_signal,
283,Loja Obramax Mooca,São Paulo,Mooca,03108-010,Atacadista,,,,,,,sao_paulo_missing_zone_signal,
284,Lojas Forte - Materiais de Construção,São Paulo,Higienópolis,01239-001,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
285,Sindicato do Comércio Atacadista de Gen Aliment de São Paulo,São Paulo,Liberdade,01506-000,Associação / organização,,,,,,,sao_paulo_missing_zone_signal,
286,Bonita Atacado e Varejo,São Paulo,Centro Histórico de São Paulo,01021-100,Loja de Roupa,,,,,,,sao_paulo_missing_zone_signal,
287,25 de março atacado e varejo,São Paulo,Luz,01209-010,Atacadista,,,,,,,sao_paulo_missing_zone_signal,
288,Shopping Brás Atacado & Varejo,São Paulo,Canindé,03031-000,Shopping center,,,,,,,sao_paulo_missing_zone_signal,
289,Atacado 25 - Fornecedor de Eletrônicos,São Paulo,Centro Histórico de São Paulo,01021-200,,,,,,,,sao_paulo_missing_zone_signal,
290,SPX Distribuidora Atacado e Varejo,São Paulo,Centro Histórico de São Paulo,01023-001,Atacadista,,,,,,,sao_paulo_missing_zone_signal,
291,Fonte | Atacadista e Varejo,São Paulo,Sé,01019-000,Loja de Roupa,,,,,,,sao_paulo_missing_zone_signal,
292,Huang Atacado e Varejo,São Paulo,Luz,01104-000,Loja,,,,,,,sao_paulo_missing_zone_signal,
293,Joana Bijoux Atacado e Varejo,São Paulo,República,01048-100,Loja de Presentes,,,,,,,sao_paulo_missing_zone_signal,
294,Varejo dos Importados,São Paulo,Canindé,03032-030,,,,,,,,sao_paulo_missing_zone_signal,
295,Busca Busca - Brás,São Paulo,Brás,03010-000,Shopping center,,,,,,,sao_paulo_missing_zone_signal,
296,Atacado 25,São Paulo,Centro Histórico de São Paulo,01023-001,Loja de eletrônicos,,,,,,,sao_paulo_missing_zone_signal,
297,Atacado Barato Varejo,São Paulo,Brás,03009-030,Atacadista,,,,,,,sao_paulo_missing_zone_signal,
298,Atacado e Varejo,São Paulo,Brás,01104-000,Loja de Roupa,,,,,,,sao_paulo_missing_zone_signal,
299,Atacadista São Paulo Comércio e Importação Ltda,São Paulo,Brás,03006-020,Atacadista,,,,,,,sao_paulo_missing_zone_signal,
300,Supermercado Vovó Zuzu,São Paulo,Centro Histórico de São Paulo,01015-070,Supermercado,,,,,,,sao_paulo_missing_zone_signal,
301,Atacado São Paulo,São Paulo,Canindé,03031-040,Atacadista,,,,,,,sao_paulo_missing_zone_signal,
302,São Paulo,São Paulo,,,,,,,,,,sao_paulo_missing_zone_signal,
